,0,1,2,3,4
0,Intel Core Ultra 5 225F,10,Intel,1851,7650
1,,,,,
2,Intel Core Ultra 5 225,10,Intel,1851,8400
3,,,,,
4,Intel Core Ultra 5 235,14,Intel,1851,9200
5,Intel Core Ultra 5 245KF,14,Intel,1851,9300
6,Intel Core Ultra 5 245K,14,Intel,1851,9600
7,Intel Core Ultra 7 265KF,20,Intel,1851,9400
8,,,,,
9,,,,,
10,,,,,
11,,,,,
12,,,,,
13,Intel Core Ultra 7 265K,20,Intel,1851,9990
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,Intel Core Ultra 9 285K,24,Intel,1851,19600
20,Intel Processor 300,2,Intel,1700,2680
21,Intel i3-14100F,4,Intel,1700,2880
22,Intel i3-14100,4,Intel,1700,3480
23,Intel i5-14400F,10,Intel,1700,4580
24,Intel i5-14400,10,Intel,1700,5550
25,Intel i5-14600KF,14,Intel,1700,6900
26,,,,1700,6600
27,Intel i5-14600K,14,Intel,1700,7300
28,,,,1700,7000
29,Intel i7-14700F,20,Intel,1700,9600
30,Intel i7-14700,20,Intel,1700,10200
31,Intel i7-14700KF,20,Intel,1700,11000
32,,,,1700,10550
33,Intel i7-14700K,20,Intel,1700,12000
34,,,,1700,11550
35,Intel i9-14900KF,24,Intel,1700,15300
36,,,,1700,14700
37,Intel i9-14900K,24,Intel,1700,15990
38,,,,1700,15390
39,Intel i3-12100,4,Intel,1700,3250
40,Intel i5-12400F,6,Intel,1700,3450
41,Intel i5-12400,6,Intel,1700,4500
42,Intel i7-12700K,12,Intel,1700,9350
43,Intel Xeon W5-2455X,12,Intel,4677,36700
44,Intel Xeon W5-2465X,16,Intel,4677,47900
45,Intel Xeon W5-3435X,16,Intel,4677,56500
46,Intel Xeon W7-3465X,28,Intel,4677,100500
47,Intel Xeon W9-3475X,36,Intel,4677,132500
48,AMD R5 3400G,4,AMD,AM4,2100
49,AMD R5 5500GT,6,AMD,AM4,3900
50,AMD R5 5600GT,6,AMD,AM4,4450
51,AMD R5 5600X,6,AMD,AM4,5690
52,AMD R7 5700X,8,AMD,AM4,6490
53,,"任搭AM4專案主板省$1200】技嘉 B550M DS3H AC(有線+無線+藍芽) 與CPU同發票, $1890 ★ 熱",,AM4,1890
54,,"任搭AM4專案主板省$800】技嘉 B550M AORUS ELITE(須跟CPU同一張發票開立), $2390 ",,AM4,2390
55,,"任搭AM4專案主板省$1200】華碩 PRIME B550M-A AC (有線+無線+藍芽) 與U同發票, $1990 ★ 熱",,AM4,1990
56,AMD R5 7500F MPK(含風扇),6,AMD,AM5,4990
57,,,,,
58,AMD R5 7600,6,AMD,AM5,5990
59,AMD R7 7700 MPK(代理含風扇),8,AMD,AM5,7390
60,,"搭75/76/77專案主板】華碩 PRIME B840M-A WIFI-CSM (含無線WIFI 現省$.500), $3490 ",,AM5,3490
61,,"搭75/76/77專案主板】技嘉 B850M GAMING X WIFI6E (含無線WIFI 現省$.300), $5690 ",,AM5,5690
62,AMD R7 7800X3D,8,AMD,AM5,12950
63,,,,,
64,,,,,
65,AMD R9 7950X,16,AMD,AM5,18900
66,AMD R9 7950X3D,16,AMD,AM5,22950
67,AMD R5 8400F MPK(代理含風扇),6,AMD,AM5,3990
68,AMD R5 8400F,6,AMD,AM5,4950
69,,6,AMD,AM5,4450
70,AMD R5 8600G,6,AMD,AM5,6350
71,AMD R7 8700G,8,AMD,AM5,9450
72,AMD R5 9600,6,AMD,AM5,7850
73,AMD R5 9600X,6,AMD,AM5,7990
74,AMD R7 9700X,8,AMD,AM5,11500
75,AMD R7 9800X3D,8,AMD,AM5,16450
76,AMD R9 9900X,12,AMD,AM5,14850
77,AMD R9 9900X3D,12,AMD,AM5,21250
78,AMD R9 9950X,16,AMD,AM5,20950
79,AMD R9 9950X3D,16,AMD,AM5,25200
80,AMD Ryzen TR 7960X,24,AMD,sTR5,54700
81,AMD Ryzen TR 7970X,32,AMD,sTR5,88000
82,AMD Ryzen TR 7980X,64,AMD,sTR5,182700
